label,reference
RelevantImagesDatasetTEST,42680
customer_satisfaction_in_airline,46920
road-safety,44161
Diabetes-130-Hospitals_(Fairlearn),43903
fars,40672
Traffic_violations,42345
Cardiovascular-Disease-dataset,45547
internet_firewall,46978
albert,45035
adult,45068
bank-marketing,46910
Loan_Status,46553
mv,881
Click_prediction_small,41434
Amazon_employee_access,4135
adult-census,1119
credit_card_clients_default,46919
King-rook-vs-King,46173
kr-vs-k,1481
kropt,184
airlines,42493
okcupid_stem,45067
law-school-admission-bianry,43890
HR_Analytics_Job_Change_of_Data_Scientists,46935
compass,44162
nursery,26
mushroom,43923
in_vehicle_coupon_recommendation,46937
online_shoppers_intention,46947
online_shoppers,45060
PhishingWebsites,46948
E-CommereShippingData,46924
eye_movements,1044
Bank_Customer_Churn,46911
telco-customer-churn,45568
blastchar,46280
BachChoralHarmony,4552
compas-two-years,42192
kdd_ipums_la_97-small,43958
churn,46915
rl,44037
national-longitudinal-survey-binary,43892
Employee,46925
ada_prior,1037
students_dropout_and_academic_success,46960
allrep,40708
allbp,40707
dis,40713
led7,40678
led24,40677
kr-vs-kp,3
sick,45059
thyroid-dis,40478
thyroid-allrep,40477
thyroid-allhypo,40476
thyroid-allhyper,40475
thyroid-allbp,40474
Midwest_survey,42768
Midwest_Survey_nominal,42532
seismic-bumps,46956
Marketing_Campaign,46940
Corporate_Credit_Rating_Classification,46552
Mobile_Price,46944
car_evaluation,43921
car,991
Is-this-a-good-customer,46938
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,40649
GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,40647
GAMETES_Epistasis_3-Way_20atts_0.2H_EDM-1_1,40648
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM-2_001,40650
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,40646
Fitness_Club,46927
cmc,983
ibm-employee-performance,43905
ibm-employee-attrition,43896
website_phishing,46963
mofn-3-7-10,40680
socmob,934
parity5_plus_5,40706
autoUniv-au7-1100,1552
Flare,46179
solar-flare,40687
1StudentPerfromance,43255
collins,40971
credit-g_reproduced_1,44098
credit-g,46918
credit-g_copy,44097
tic-tac-toe,tic-tac-toe
monks-1,monks-problems-1
monks-2,monks-problems-2
monks-3,monks-problems-3
splice,splice
dna,dna
connect-4,40668
balance-scale,balance-scale
poker-8,155
mux6,mux6
parity5,parity5
parity5p5,parity5_plus_5
xd6,xd6
vote,vote
hayes-roth,hayes-roth
tae,tae
primary-tumor,171
audiology,audiology
soybean,soybean
lymph,lymph
vehicle,54
vowel,307
segment,36
satimage,182
letter,6
waveform,60
pendigits,32
optdigits,28
page-blocks,30
yeast,181
mfeat-fourier,14
mfeat-factors,12
spambase,44
wine-quality,40498
electricity,151
bank,1461
magic,1120
nomao,1486
